iter	Passed	Remaining
0	108	108372
1	224	112022
2	403	134048
3	534	132973
4	683	136087
5	782	129701
6	875	124251
7	970	120371
8	1067	117529
9	1174	116315
10	1292	116221
11	1392	114651
12	1498	113790
13	1598	112601
14	1697	111456
15	1784	109718
16	1856	107368
17	1928	105190
18	1996	103105
19	2068	101360
20	2143	99923
21	2211	98290
22	2293	97434
23	2373	96516
24	2434	94933
25	2507	93944
26	2577	92873
27	2680	93042
28	2742	91811
29	2807	90783
30	2914	91111
31	3013	91161
32	3093	90639
33	3169	90040
34	3302	91061
35	3359	89946
36	3458	90010
37	3535	89500
38	3628	89421
39	3686	88480
40	3769	88178
41	3835	87485
42	3901	86827
43	3994	86790
44	4077	86543
45	4164	86360
46	4272	86633
47	4370	86673
48	4497	87295
49	4589	87199
50	4667	86853
51	4754	86682
52	4829	86287
53	4909	86006
54	4971	85425
55	5085	85735
56	5142	85081
57	5204	84525
58	5259	83882
59	5352	83857
60	5441	83764
61	5541	83840
62	5651	84059
63	5792	84722
64	5877	84541
65	5981	84646
66	6111	85108
67	6236	85476
68	6346	85632
69	6433	85477
70	6544	85632
71	6647	85683
72	6739	85584
73	6861	85856
74	7016	86535
75	7141	86826
76	7256	86985
77	7349	86870
78	7528	87772
79	7630	87750
80	7752	87953
81	7933	88818
82	8091	89392
83	8223	89672
84	8297	89322
85	8398	89257
86	8510	89311
87	8636	89501
88	8771	89780
89	8858	89566
90	8970	89603
91	9091	89725
92	9195	89678
93	9312	89760
94	9409	89639
95	9558	90010
96	9718	90472
97	9791	90125
98	9853	89680
99	9911	89200
100	9961	88669
101	10031	88313
102	10090	87873
103	10154	87486
104	10219	87109
105	10286	86755
106	10353	86404
107	10419	86060
108	10475	85630
109	10541	85292
110	10607	84955
111	10668	84588
112	10751	84393
113	10833	84199
114	10910	83965
115	10970	83606
116	11038	83305
117	11103	82995
118	11164	82651
119	11230	82358
120	11292	82032
121	11353	81708
122	11421	81435
123	11485	81138
124	11552	80864
125	11659	80874
126	11761	80851
127	11866	80840
128	11983	80909
129	12065	80745
130	12164	80691
131	12259	80618
132	12353	80527
133	12458	80518
134	12540	80353
135	12627	80219
136	12728	80178
137	12850	80267
138	13105	81177
139	13239	81327
140	13307	81070
141	13362	80741
142	13413	80389
143	13491	80201
144	13530	79784
145	13570	79376
146	13607	78960
147	13646	78558
148	13686	78169
149	13735	77835
150	13791	77544
151	13841	77220
152	13877	76826
153	13917	76455
154	13956	76083
155	13995	75717
156	14037	75371
157	14073	74997
158	14105	74607
159	14143	74252
160	14183	73914
161	14222	73569
162	14259	73223
163	14301	72900
164	14337	72558
165	14375	72225
166	14419	71922
167	14454	71584
168	14491	71259
169	14531	70947
170	14570	70637
171	14609	70331
172	14648	70026
173	14687	69725
174	14729	69439
175	14769	69145
176	14808	68853
177	14850	68579
178	14890	68297
179	14931	68020
180	14969	67734
181	15013	67478
182	15053	67207
183	15095	66947
184	15130	66655
185	15168	66382
186	15211	66134
187	15249	65864
188	15287	65600
189	15331	65360
190	15371	65108
191	15413	64867
192	15454	64619
193	15496	64380
194	15535	64134
195	15577	63898
196	15625	63690
197	15662	63441
198	15708	63229
199	15761	63046
200	15840	62967
201	15888	62767
202	15942	62592
203	15978	62348
204	16020	62129
205	16060	61903
206	16100	61680
207	16141	61460
208	16179	61233
209	16223	61029
210	16271	60844
211	16307	60614
212	16341	60379
213	16375	60145
214	16408	59911
215	16442	59679
216	16475	59448
217	16511	59229
218	16547	59010
219	16580	58786
220	16613	58561
221	16645	58335
222	16677	58111
223	16709	57885
224	16740	57661
225	16773	57443
226	16805	57228
227	16841	57023
228	16872	56805
229	16905	56596
230	16938	56389
231	16978	56205
232	17019	56025
233	17050	55815
234	17080	55601
235	17110	55392
236	17144	55194
237	17179	55004
238	17221	54835
239	17263	54668
240	17300	54485
241	17335	54298
242	17368	54106
243	17402	53918
244	17446	53762
245	17484	53589
246	17518	53407
247	17554	53230
248	17588	53048
249	17627	52883
250	17664	52711
251	17701	52542
252	17737	52371
253	17772	52198
254	17811	52038
255	17848	51871
256	17882	51699
257	17914	51521
258	17950	51357
259	17984	51186
260	18016	51013
261	18047	50837
262	18077	50658
263	18109	50487
264	18153	50350
265	18193	50203
266	18239	50073
267	18272	49907
268	18307	49750
269	18340	49585
270	18368	49412
271	18402	49253
272	18452	49138
273	18499	49018
274	18537	48872
275	18575	48728
276	18612	48580
277	18648	48433
278	18680	48274
279	18714	48122
280	18750	47976
281	18783	47825
282	18814	47667
283	18844	47510
284	18878	47361
285	18924	47245
286	18963	47110
287	18998	46968
288	19032	46823
289	19064	46675
290	19102	46542
291	19152	46438
292	19193	46313
293	19235	46190
294	19297	46116
295	19342	46003
296	19403	45928
297	19444	45805
298	19484	45680
299	19522	45552
300	19559	45422
301	19644	45402
302	19735	45398
303	19770	45264
304	19803	45126
305	19838	44992
306	19869	44851
307	19898	44708
308	19927	44562
309	19958	44422
310	19986	44278
311	20017	44141
312	20049	44007
313	20083	43877
314	20114	43741
315	20143	43601
316	20174	43468
317	20204	43331
318	20234	43195
319	20264	43062
320	20294	42928
321	20322	42791
322	20353	42660
323	20384	42529
324	20415	42401
325	20452	42284
326	20492	42175
327	20531	42063
328	20569	41951
329	20604	41833
330	20637	41710
331	20669	41587
332	20699	41461
333	20730	41335
334	20760	41211
335	20789	41084
336	20818	40958
337	20847	40831
338	20879	40712
339	20911	40592
340	20948	40483
341	20984	40373
342	21014	40252
343	21049	40139
344	21081	40023
345	21114	39910
346	21148	39797
347	21177	39677
348	21206	39556
349	21232	39431
350	21261	39313
351	21290	39194
352	21318	39074
353	21346	38955
354	21376	38838
355	21405	38722
356	21443	38622
357	21475	38511
358	21504	38397
359	21533	38281
360	21563	38168
361	21595	38060
362	21624	37947
363	21656	37839
364	21684	37724
365	21711	37609
366	21740	37498
367	21770	37388
368	21802	37282
369	21833	37175
370	21870	37079
371	21900	36971
372	21928	36860
373	21957	36751
374	21990	36650
375	22022	36547
376	22051	36440
377	22084	36339
378	22116	36238
379	22146	36134
380	22175	36028
381	22204	35921
382	22234	35819
383	22264	35716
384	22305	35630
385	22340	35536
386	22379	35449
387	22415	35355
388	22444	35254
389	22472	35149
390	22501	35047
391	22531	34947
392	22564	34851
393	22601	34762
394	22639	34675
395	22672	34581
396	22703	34484
397	22734	34387
398	22767	34294
399	22810	34215
400	22837	34114
401	22869	34019
402	22902	33928
403	22934	33833
404	22965	33738
405	22997	33645
406	23026	33549
407	23055	33453
408	23085	33358
409	23115	33263
410	23144	33168
411	23173	33073
412	23201	32977
413	23233	32885
414	23273	32807
415	23305	32717
416	23335	32624
417	23372	32542
418	23417	32471
419	23448	32381
420	23479	32291
421	23510	32201
422	23541	32112
423	23571	32021
424	23601	31931
425	23631	31841
426	23662	31753
427	23693	31665
428	23723	31576
429	23751	31484
430	23779	31393
431	23810	31306
432	23839	31217
433	23868	31127
434	23896	31037
435	23926	30951
436	23958	30866
437	23990	30782
438	24030	30708
439	24069	30634
440	24102	30551
441	24137	30472
442	24168	30388
443	24200	30305
444	24243	30236
445	24280	30160
446	24311	30076
447	24343	29995
448	24376	29913
449	24412	29838
450	24442	29753
451	24474	29673
452	24507	29592
453	24538	29510
454	24568	29427
455	24597	29344
456	24625	29259
457	24655	29177
458	24684	29094
459	24716	29014
460	24742	28929
461	24770	28845
462	24800	28764
463	24836	28690
464	24867	28611
465	24897	28530
466	24928	28451
467	24954	28366
468	24984	28286
469	25014	28208
470	25044	28128
471	25074	28049
472	25101	27967
473	25132	27890
474	25162	27811
475	25191	27732
476	25219	27651
477	25249	27574
478	25278	27494
479	25306	27415
480	25335	27336
481	25365	27260
482	25395	27182
483	25426	27107
484	25458	27032
485	25493	26962
486	25531	26894
487	25565	26822
488	25595	26747
489	25628	26675
490	25667	26608
491	25707	26543
492	25743	26475
493	25774	26400
494	25807	26328
495	25843	26260
496	25875	26187
497	25906	26114
498	25936	26040
499	25964	25964
500	25993	25889
501	26023	25815
502	26053	25743
503	26082	25668
504	26112	25595
505	26141	25521
506	26170	25448
507	26196	25371
508	26226	25299
509	26255	25226
510	26286	25154
511	26317	25084
512	26352	25016
513	26380	24943
514	26408	24870
515	26438	24799
516	26467	24727
517	26494	24653
518	26525	24583
519	26555	24512
520	26585	24442
521	26616	24372
522	26646	24303
523	26673	24230
524	26702	24159
525	26730	24088
526	26758	24016
527	26786	23945
528	26818	23878
529	26848	23808
530	26874	23736
531	26903	23667
532	26936	23601
533	26972	23537
534	27012	23477
535	27042	23409
536	27078	23347
537	27106	23277
538	27142	23214
539	27181	23154
540	27216	23091
541	27248	23025
542	27283	22962
543	27314	22896
544	27347	22831
545	27380	22766
546	27410	22700
547	27440	22633
548	27467	22564
549	27496	22496
550	27524	22429
551	27552	22361
552	27583	22295
553	27613	22230
554	27644	22165
555	27676	22101
556	27705	22035
557	27738	21972
558	27767	21906
559	27796	21840
560	27830	21777
561	27860	21712
562	27891	21649
563	27920	21583
564	27948	21517
565	27977	21452
566	28007	21388
567	28038	21324
568	28065	21258
569	28094	21194
570	28125	21130
571	28157	21068
572	28185	21004
573	28213	20939
574	28244	20876
575	28278	20816
576	28313	20756
577	28342	20693
578	28372	20630
579	28410	20573
580	28453	20519
581	28488	20460
582	28524	20402
583	28554	20340
584	28587	20279
585	28624	20222
586	28658	20163
587	28688	20101
588	28720	20040
589	28752	19980
590	28785	19920
591	28817	19860
592	28848	19799
593	28876	19737
594	28906	19675
595	28938	19615
596	28967	19554
597	29000	19495
598	29029	19433
599	29059	19373
600	29090	19312
601	29118	19251
602	29148	19190
603	29180	19131
604	29207	19069
605	29238	19009
606	29266	18948
607	29296	18888
608	29322	18826
609	29353	18766
610	29384	18707
611	29414	18648
612	29441	18586
613	29469	18526
614	29497	18466
615	29527	18406
616	29558	18348
617	29585	18287
618	29617	18229
619	29646	18170
620	29675	18110
621	29701	18050
622	29730	17991
623	29760	17932
624	29789	17873
625	29816	17813
626	29854	17760
627	29893	17707
628	29931	17654
629	29962	17597
630	29993	17540
631	30024	17482
632	30057	17426
633	30092	17372
634	30124	17315
635	30155	17258
636	30186	17202
637	30214	17143
638	30247	17088
639	30277	17031
640	30308	16974
641	30341	16919
642	30374	16864
643	30406	16808
644	30437	16752
645	30465	16694
646	30495	16637
647	30524	16581
648	30554	16524
649	30583	16467
650	30610	16410
651	30639	16353
652	30669	16297
653	30697	16240
654	30724	16183
655	30753	16127
656	30781	16069
657	30808	16013
658	30839	15957
659	30868	15902
660	30897	15846
661	30926	15790
662	30955	15734
663	30985	15679
664	31014	15623
665	31042	15567
666	31072	15513
667	31102	15457
668	31130	15402
669	31158	15346
670	31187	15291
671	31219	15237
672	31249	15183
673	31278	15128
674	31311	15075
675	31352	15026
676	31387	14975
677	31418	14921
678	31452	14869
679	31482	14815
680	31510	14760
681	31549	14710
682	31584	14659
683	31615	14605
684	31649	14554
685	31680	14500
686	31713	14448
687	31745	14396
688	31775	14342
689	31803	14288
690	31834	14235
691	31865	14182
692	31895	14129
693	31923	14075
694	31951	14021
695	31980	13968
696	32011	13916
697	32041	13863
698	32068	13809
699	32098	13756
700	32128	13703
701	32157	13650
702	32185	13597
703	32214	13544
704	32245	13492
705	32275	13440
706	32304	13387
707	32332	13334
708	32361	13282
709	32391	13230
710	32420	13177
711	32448	13125
712	32478	13073
713	32508	13021
714	32539	12970
715	32570	12919
716	32596	12865
717	32625	12813
718	32655	12762
719	32687	12711
720	32717	12660
721	32746	12608
722	32776	12557
723	32813	12508
724	32852	12461
725	32887	12412
726	32922	12362
727	32953	12312
728	32987	12262
729	33022	12213
730	33056	12164
731	33089	12114
732	33120	12064
733	33151	12013
734	33183	11964
735	33213	11913
736	33240	11862
737	33272	11812
738	33307	11763
739	33347	11716
740	33378	11666
741	33405	11615
742	33433	11564
743	33463	11514
744	33490	11463
745	33519	11412
746	33548	11362
747	33579	11312
748	33605	11261
749	33633	11211
750	33662	11160
751	33690	11110
752	33718	11060
753	33747	11010
754	33775	10960
755	33802	10909
756	33831	10860
757	33860	10810
758	33889	10760
759	33916	10710
760	33946	10661
761	33976	10612
762	34007	10563
763	34035	10513
764	34064	10464
765	34094	10415
766	34122	10365
767	34149	10315
768	34183	10268
769	34223	10222
770	34277	10180
771	34323	10136
772	34362	10090
773	34396	10043
774	34428	9995
775	34464	9948
776	34499	9901
777	34529	9852
778	34561	9804
779	34593	9757
780	34625	9709
781	34656	9661
782	34687	9613
783	34714	9564
784	34744	9516
785	34773	9467
786	34803	9419
787	34829	9370
788	34858	9322
789	34887	9273
790	34913	9224
791	34941	9176
792	34971	9128
793	35001	9080
794	35028	9032
795	35057	8984
796	35088	8937
797	35120	8890
798	35152	8843
799	35179	8794
800	35208	8747
801	35236	8699
802	35266	8651
803	35298	8605
804	35326	8557
805	35352	8509
806	35384	8462
807	35414	8415
808	35441	8367
809	35475	8321
810	35511	8275
811	35538	8228
812	35567	8180
813	35599	8134
814	35627	8087
815	35657	8040
816	35694	7995
817	35733	7950
818	35771	7905
819	35814	7861
820	35849	7816
821	35881	7769
822	35916	7724
823	35953	7679
824	35984	7633
825	36015	7586
826	36048	7540
827	36077	7494
828	36113	7449
829	36143	7402
830	36174	7356
831	36203	7310
832	36234	7264
833	36265	7218
834	36296	7172
835	36326	7126
836	36352	7079
837	36381	7033
838	36412	6987
839	36443	6941
840	36475	6896
841	36509	6850
842	36541	6805
843	36572	6759
844	36600	6713
845	36633	6668
846	36664	6623
847	36698	6578
848	36732	6533
849	36765	6488
850	36799	6443
851	36834	6398
852	36872	6354
853	36918	6311
854	36954	6267
855	37008	6225
856	37061	6184
857	37108	6141
858	37138	6096
859	37173	6051
860	37211	6007
861	37252	5963
862	37286	5919
863	37320	5874
864	37352	5829
865	37392	5785
866	37446	5744
867	37487	5700
868	37536	5658
869	37576	5614
870	37617	5571
871	37655	5527
872	37703	5484
873	37781	5446
874	37836	5405
875	37872	5360
876	37909	5316
877	37948	5272
878	37983	5228
879	38021	5184
880	38059	5140
881	38095	5096
882	38133	5052
883	38170	5008
884	38204	4964
885	38245	4920
886	38283	4877
887	38320	4833
888	38378	4791
889	38415	4748
890	38452	4704
891	38492	4660
892	38530	4616
893	38568	4573
894	38607	4529
895	38648	4485
896	38702	4444
897	38751	4401
898	38796	4358
899	38837	4315
900	38894	4273
901	38944	4231
902	38994	4188
903	39046	4146
904	39100	4104
905	39149	4061
906	39199	4019
907	39248	3976
908	39297	3934
909	39344	3891
910	39390	3848
911	39432	3804
912	39477	3761
913	39526	3719
914	39569	3675
915	39612	3632
916	39658	3589
917	39704	3546
918	39749	3503
919	39798	3460
920	39842	3417
921	39903	3375
